image_id,num_bb,confidence,mask_area,num_fragments,is_fragmented
000000.png,100,0.9737802147865295,59827,10,1
000000.png,100,0.9728767275810242,85692,10,1
000000.png,100,0.9603170156478882,26162,6,1
000000.png,100,0.9556335806846619,34791,2,1
000000.png,100,0.9489362239837646,4207,1,0
000000.png,100,0.9416391253471375,45246,4,1
000000.png,100,0.9390401244163513,19458,2,1
000000.png,100,0.9353610277175903,654,1,0
000000.png,100,0.9293529391288757,62759,2,1
000000.png,100,0.9262941479682922,1275,1,0
000000.png,100,0.9258894324302673,26770,5,1
000000.png,100,0.9250256419181824,5712,1,0
000000.png,100,0.923672080039978,15166,3,1
000000.png,100,0.9177769422531128,8907,1,0
000000.png,100,0.912354052066803,92160,1,0
000000.png,100,0.9123083353042603,3256,1,0
000000.png,100,0.9028511047363281,28828,1,0
000000.png,100,0.9010539054870605,4760,3,1
000000.png,100,0.8993465304374695,21989,2,1
000000.png,100,0.89706951379776,2823,2,1
000000.png,100,0.8832962512969971,4290,1,0
000000.png,100,0.8605269193649292,5168,2,1
000000.png,100,0.8453933000564575,250,1,0
000000.png,100,0.8410571813583374,78295,28,1
000000.png,100,0.8314641714096069,875,1,0
000000.png,100,0.8224656581878662,2424,3,1
000000.png,100,0.7634827494621277,390,2,1
000000.png,100,0.69797283411026,519,1,0
000000.png,100,0.661836564540863,2159,1,0
000000.png,100,0.5619825124740601,52,1,0
000000.png,100,0.552297055721283,357,2,1
000001.png,100,0.981037437915802,60889,38,1
000001.png,100,0.9608640670776367,19524,2,1
000001.png,100,0.9597467184066772,18880,1,0
000001.png,100,0.9571829438209534,27560,4,1
000001.png,100,0.9467287659645081,60884,5,1
000001.png,100,0.9465257525444031,39688,2,1
000001.png,100,0.9435786604881287,27017,4,1
000001.png,100,0.9419629573822021,84390,1,0
000001.png,100,0.934962809085846,37500,7,1
000001.png,100,0.9320815801620483,22988,4,1
000001.png,100,0.9314831495285034,4704,1,0
000001.png,100,0.930683434009552,11546,3,1
000001.png,100,0.9295168519020081,26876,5,1
000001.png,100,0.9290146827697754,83991,19,1
000001.png,100,0.9269477128982544,15047,1,0
000001.png,100,0.9128991365432739,203,1,0
000001.png,100,0.9106779098510742,2797,1,0
